catalog-number,class-info,class-info href,class-info 2,class-section,class-days,time,ENRL/MAX,class-status
ELE 351,Foundations of Modern Optics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002478,Class #21125,L01,T Th,01:30 pm - 02:50 pm,30-Apr,
ELE 364,Machine Learning for Predictive Data Analytics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014220,Class #21127,L01,T Th,03:00 pm - 04:20 pm,75/78,
ELE 396 / COS 396,Introduction to Quantum Computing,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010006,Class #21142,L01,M W,11:00 am - 12:20 pm,40/100,
ELE 397,Junior Independent Work,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002489,Class #21138,S01,TBA,,20-May,
ELE 435,Machine Learning and Pattern Recognition,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014725,Class #21140,L01,M W F,10:00 am - 10:50 am,30/35,
ELE 441 / ENE 441,Solid-State Physics I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002497,Class #21141,L01,M W F,11:00 am - 12:20 pm,16/40,
ELE 453,Optical and Quantum Electronics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002499,Class #21143,L01,T Th,03:00 pm - 04:20 pm,25/45,
ELE 458,Photonics and Light Wave Communications,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002500,Class #21136,L01,M W,01:30 pm - 02:50 pm,Feb-50,
ELE 462 / COS 462,Design of Very Large-Scale Integrated (VLSI) Systems,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002501,Class #21232,L01,T Th,11:00 am - 12:20 pm,20-Dec,
ELE 472,Architectures for Secure Computers and Smartphones,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013309,Class #23141,L01,M W,01:30 pm - 02:50 pm,22/25,
ELE 481 / ENE 481,Principles of Power Electronics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014456,Class #21233,L01,T Th,01:30 pm - 02:50 pm,20-Nov,
ELE 482,Digital Signal Processing,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002510,Class #21129,L01,M W,03:00 pm - 04:20 pm,16/30,
ELE 497,Senior Independent Work,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002521,Class #21139,C01,TBA,,33/50,
ELE 511,Quantum Mechanics with Applications,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012857,Class #22266,L01,T Th,09:00 am - 10:20 am,30-Nov,
ELE 511,Quantum Mechanics with Applications,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012857,Class #22266,L01,F,01:30 pm - 02:50 pm,30-Nov,
